[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.59
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.58
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.58
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.48
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.43
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.34
[2025-07-23 17:29:14] (Elapsed: 6.78s) Processing frame 13
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.87
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.86
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.80
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.74
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.71
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.70
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.65
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.62
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.58
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.50
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.41
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.34
[2025-07-23 17:29:15] (Elapsed: 6.93s) Detected: car with confidence 0.30
[2025-07-23 17:29:15] (Elapsed: 6.93s) Processing frame 14
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.88
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.84
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.80
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.77
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.75
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.71
